id:0, resource: 6, group: x, metric: redis-8_system.network.in.bytes
id:47, resource: 5, group: x, metric: redis-9_system.network.in.errors
id:48, resource: 5, group: x, metric: redis-9_system.network.in.packets
id:49, resource: 5, group: x, metric: redis-9_system.network.name
id:50, resource: 5, group: x, metric: redis-9_system.network.out.bytes
id:51, resource: 5, group: x, metric: redis-9_system.network.out.dropped
id:52, resource: 5, group: x, metric: redis-9_system.network.out.errors
id:53, resource: 5, group: x, metric: redis-9_system.network.out.packets
id:54, resource: 0, group: x, metric: redis-14_system.network.in.bytes
id:55, resource: 0, group: x, metric: redis-14_system.network.in.dropped
id:56, resource: 0, group: x, metric: redis-14_system.network.in.errors
id:57, resource: 0, group: x, metric: redis-14_system.network.in.packets
id:58, resource: 0, group: x, metric: redis-14_system.network.name
id:59, resource: 0, group: x, metric: redis-14_system.network.out.bytes
id:60, resource: 0, group: x, metric: redis-14_system.network.out.dropped
id:61, resource: 0, group: x, metric: redis-14_system.network.out.errors
id:62, resource: 0, group: x, metric: redis-14_system.network.out.packets
id:63, resource: 1, group: x, metric: redis-1_system.network.in.bytes
id:64, resource: 1, group: x, metric: redis-1_system.network.in.dropped
id:65, resource: 1, group: x, metric: redis-1_system.network.in.errors
id:66, resource: 1, group: x, metric: redis-1_system.network.in.packets
id:67, resource: 1, group: x, metric: redis-1_system.network.name
id:68, resource: 1, group: x, metric: redis-1_system.network.out.bytes
id:69, resource: 1, group: x, metric: redis-1_system.network.out.dropped
id:70, resource: 1, group: x, metric: redis-1_system.network.out.errors
id:71, resource: 1, group: x, metric: redis-1_system.network.out.packets
id:72, resource: 4, group: x, metric: redis-4_system.network.in.bytes
id:73, resource: 4, group: x, metric: redis-4_system.network.in.dropped
id:74, resource: 4, group: x, metric: redis-4_system.network.in.errors
id:75, resource: 4, group: x, metric: redis-4_system.network.in.packets
id:76, resource: 4, group: x, metric: redis-4_system.network.name
id:77, resource: 4, group: x, metric: redis-4_system.network.out.bytes
id:78, resource: 4, group: x, metric: redis-4_system.network.out.dropped
id:79, resource: 4, group: x, metric: redis-4_system.network.out.errors
id:80, resource: 4, group: x, metric: redis-4_system.network.out.packets
id:81, resource: 4, group: x, metric: redis-15_system.network.in.bytes
id:82, resource: 4, group: x, metric: redis-15_system.network.in.dropped
id:83, resource: 4, group: x, metric: redis-15_system.network.in.errors
id:84, resource: 4, group: x, metric: redis-15_system.network.in.packets
id:85, resource: 4, group: x, metric: redis-15_system.network.name
id:86, resource: 4, group: x, metric: redis-15_system.network.out.bytes
id:87, resource: 4, group: x, metric: redis-15_system.network.out.dropped
id:88, resource: 4, group: x, metric: redis-15_system.network.out.errors
id:89, resource: 4, group: x, metric: redis-15_system.network.out.packets
id:90, resource: 7, group: x, metric: redis-6_system.network.in.bytes
id:91, resource: 7, group: x, metric: redis-6_system.network.in.dropped
id:92, resource: 7, group: x, metric: redis-6_system.network.in.errors
id:93, resource: 7, group: x, metric: redis-6_system.network.in.packets
id:94, resource: 7, group: x, metric: redis-6_system.network.name
id:95, resource: 7, group: x, metric: redis-6_system.network.out.bytes
id:96, resource: 7, group: x, metric: redis-6_system.network.out.dropped
id:97, resource: 7, group: x, metric: redis-6_system.network.out.errors
id:98, resource: 7, group: x, metric: redis-6_system.network.out.packets
id:99, resource: 2, group: x, metric: redis-5_system.network.in.bytes
id:100, resource: 2, group: x, metric: redis-5_system.network.in.dropped
id:101, resource: 2, group: x, metric: redis-5_system.network.in.errors
id:102, resource: 2, group: x, metric: redis-5_system.network.in.packets
id:103, resource: 2, group: x, metric: redis-5_system.network.name
id:104, resource: 2, group: x, metric: redis-5_system.network.out.bytes
id:105, resource: 2, group: x, metric: redis-5_system.network.out.dropped
id:106, resource: 2, group: x, metric: redis-5_system.network.out.errors
id:107, resource: 2, group: x, metric: redis-5_system.network.out.packets
id:108, resource: 5, group: x, metric: redis-20_system.network.in.bytes
id:109, resource: 5, group: x, metric: redis-20_system.network.in.dropped
id:110, resource: 5, group: x, metric: redis-20_system.network.in.errors
id:111, resource: 5, group: x, metric: redis-20_system.network.in.packets
id:112, resource: 5, group: x, metric: redis-20_system.network.name
id:113, resource: 5, group: x, metric: redis-20_system.network.out.bytes
id:114, resource: 5, group: x, metric: redis-20_system.network.out.dropped
id:115, resource: 5, group: x, metric: redis-20_system.network.out.errors
id:116, resource: 5, group: x, metric: redis-20_system.network.out.packets
id:117, resource: 1, group: x, metric: redis-12_system.network.in.bytes
id:118, resource: 1, group: x, metric: redis-12_system.network.in.dropped
id:119, resource: 1, group: x, metric: redis-12_system.network.in.errors
id:120, resource: 1, group: x, metric: redis-12_system.network.in.packets
id:121, resource: 1, group: x, metric: redis-12_system.network.name
id:122, resource: 1, group: x, metric: redis-12_system.network.out.bytes
id:123, resource: 1, group: x, metric: redis-12_system.network.out.dropped
id:124, resource: 1, group: x, metric: redis-12_system.network.out.errors
id:125, resource: 1, group: x, metric: redis-12_system.network.out.packets
id:126, resource: 9, group: x, metric: redis-2_system.network.in.bytes
id:127, resource: 9, group: x, metric: redis-2_system.network.in.dropped
id:128, resource: 9, group: x, metric: redis-2_system.network.in.errors
id:129, resource: 9, group: x, metric: redis-2_system.network.in.packets
id:130, resource: 9, group: x, metric: redis-2_system.network.name
id:131, resource: 9, group: x, metric: redis-2_system.network.out.bytes
id:132, resource: 9, group: x, metric: redis-2_system.network.out.dropped
id:133, resource: 9, group: x, metric: redis-2_system.network.out.errors
id:134, resource: 9, group: x, metric: redis-2_system.network.out.packets
id:135, resource: 9, group: x, metric: redis-13_system.network.in.bytes
id:136, resource: 9, group: x, metric: redis-13_system.network.in.dropped
id:137, resource: 9, group: x, metric: redis-13_system.network.in.errors
id:138, resource: 9, group: x, metric: redis-13_system.network.in.packets
id:139, resource: 9, group: x, metric: redis-13_system.network.name
id:140, resource: 9, group: x, metric: redis-13_system.network.out.bytes
id:141, resource: 9, group: x, metric: redis-13_system.network.out.dropped
id:142, resource: 9, group: x, metric: redis-13_system.network.out.errors
id:143, resource: 9, group: x, metric: redis-13_system.network.out.packets
id:144, resource: 2, group: x, metric: redis-16_system.network.in.bytes
id:145, resource: 2, group: x, metric: redis-16_system.network.in.dropped
id:146, resource: 2, group: x, metric: redis-16_system.network.in.errors
id:147, resource: 2, group: x, metric: redis-16_system.network.in.packets
id:148, resource: 2, group: x, metric: redis-16_system.network.name
id:149, resource: 2, group: x, metric: redis-16_system.network.out.bytes
id:150, resource: 2, group: x, metric: redis-16_system.network.out.dropped
id:151, resource: 2, group: x, metric: redis-16_system.network.out.errors
id:152, resource: 2, group: x, metric: redis-16_system.network.out.packets
id:153, resource: 3, group: x, metric: redis-18_system.network.in.bytes
id:154, resource: 3, group: x, metric: redis-18_system.network.in.dropped
id:155, resource: 3, group: x, metric: redis-18_system.network.in.errors
id:156, resource: 3, group: x, metric: redis-18_system.network.in.packets
id:157, resource: 3, group: x, metric: redis-18_system.network.name
id:158, resource: 3, group: x, metric: redis-18_system.network.out.bytes
id:159, resource: 3, group: x, metric: redis-18_system.network.out.dropped
id:160, resource: 3, group: x, metric: redis-18_system.network.out.errors
id:161, resource: 3, group: x, metric: redis-18_system.network.out.packets
id:162, resource: 0, group: x, metric: redis-3_system.network.in.bytes
id:163, resource: 0, group: x, metric: redis-3_system.network.in.dropped
id:164, resource: 0, group: x, metric: redis-3_system.network.in.errors
id:165, resource: 0, group: x, metric: redis-3_system.network.in.packets
id:166, resource: 0, group: x, metric: redis-3_system.network.name
id:167, resource: 0, group: x, metric: redis-3_system.network.out.bytes
id:168, resource: 0, group: x, metric: redis-3_system.network.out.dropped
id:169, resource: 0, group: x, metric: redis-3_system.network.out.errors
id:170, resource: 0, group: x, metric: redis-3_system.network.out.packets
id:171, resource: 8, group: x, metric: redis-10_system.network.in.bytes
id:172, resource: 8, group: x, metric: redis-10_system.network.in.dropped
id:173, resource: 8, group: x, metric: redis-10_system.network.in.errors
id:174, resource: 8, group: x, metric: redis-10_system.network.in.packets
id:175, resource: 8, group: x, metric: redis-10_system.network.name
id:176, resource: 8, group: x, metric: redis-10_system.network.out.bytes
id:177, resource: 8, group: x, metric: redis-10_system.network.out.dropped
id:178, resource: 8, group: x, metric: redis-10_system.network.out.errors
id:179, resource: 8, group: x, metric: redis-10_system.network.out.packets
id:180, resource: 8, group: x, metric: redis-11_system.core.id
id:181, resource: 8, group: x, metric: redis-11_system.core.idle.pct
id:182, resource: 8, group: x, metric: redis-11_system.core.iowait.pct
id:183, resource: 8, group: x, metric: redis-11_system.core.irq.pct
id:184, resource: 8, group: x, metric: redis-11_system.core.nice.pct
id:185, resource: 8, group: x, metric: redis-11_system.core.softirq.pct
id:186, resource: 8, group: x, metric: redis-11_system.core.steal.pct
id:187, resource: 8, group: x, metric: redis-11_system.core.system.pct
id:188, resource: 8, group: x, metric: redis-11_system.core.user.pct
id:189, resource: 8, group: x, metric: redis-10_system.core.id
id:190, resource: 8, group: x, metric: redis-10_system.core.idle.pct
id:191, resource: 8, group: x, metric: redis-10_system.core.iowait.pct
id:192, resource: 8, group: x, metric: redis-10_system.core.irq.pct
id:193, resource: 8, group: x, metric: redis-10_system.core.nice.pct
id:194, resource: 8, group: x, metric: redis-10_system.core.softirq.pct
id:195, resource: 8, group: x, metric: redis-10_system.core.steal.pct
id:196, resource: 8, group: x, metric: redis-10_system.core.system.pct
id:197, resource: 8, group: x, metric: redis-10_system.core.user.pct
id:198, resource: 9, group: x, metric: redis-13_system.core.id
id:199, resource: 9, group: x, metric: redis-13_system.core.idle.pct
id:200, resource: 9, group: x, metric: redis-13_system.core.iowait.pct
id:201, resource: 9, group: x, metric: redis-13_system.core.irq.pct
id:202, resource: 9, group: x, metric: redis-13_system.core.nice.pct
id:203, resource: 9, group: x, metric: redis-13_system.core.softirq.pct
id:204, resource: 9, group: x, metric: redis-13_system.core.steal.pct
id:205, resource: 9, group: x, metric: redis-13_system.core.system.pct
id:206, resource: 9, group: x, metric: redis-13_system.core.user.pct
id:207, resource: 1, group: x, metric: redis-12_system.core.id
id:208, resource: 1, group: x, metric: redis-12_system.core.idle.pct
id:209, resource: 1, group: x, metric: redis-12_system.core.iowait.pct
id:210, resource: 1, group: x, metric: redis-12_system.core.irq.pct
id:211, resource: 1, group: x, metric: redis-12_system.core.nice.pct
id:212, resource: 1, group: x, metric: redis-12_system.core.softirq.pct
id:213, resource: 1, group: x, metric: redis-12_system.core.steal.pct
id:214, resource: 1, group: x, metric: redis-12_system.core.system.pct
id:215, resource: 1, group: x, metric: redis-12_system.core.user.pct
id:216, resource: 4, group: x, metric: redis-15_system.core.id
id:217, resource: 4, group: x, metric: redis-15_system.core.idle.pct
id:218, resource: 4, group: x, metric: redis-15_system.core.iowait.pct
id:219, resource: 4, group: x, metric: redis-15_system.core.irq.pct
id:220, resource: 4, group: x, metric: redis-15_system.core.nice.pct
id:221, resource: 4, group: x, metric: redis-15_system.core.softirq.pct
id:222, resource: 4, group: x, metric: redis-15_system.core.steal.pct
id:223, resource: 4, group: x, metric: redis-15_system.core.system.pct
id:224, resource: 4, group: x, metric: redis-15_system.core.user.pct
id:225, resource: 0, group: x, metric: redis-14_system.core.id
id:226, resource: 0, group: x, metric: redis-14_system.core.idle.pct
id:227, resource: 0, group: x, metric: redis-14_system.core.iowait.pct
id:228, resource: 0, group: x, metric: redis-14_system.core.irq.pct
id:229, resource: 0, group: x, metric: redis-14_system.core.nice.pct
id:230, resource: 0, group: x, metric: redis-14_system.core.softirq.pct
id:231, resource: 0, group: x, metric: redis-14_system.core.steal.pct
id:232, resource: 0, group: x, metric: redis-14_system.core.system.pct
id:233, resource: 0, group: x, metric: redis-14_system.core.user.pct
id:234, resource: 7, group: x, metric: redis-17_system.core.id
id:235, resource: 7, group: x, metric: redis-17_system.core.idle.pct
id:236, resource: 7, group: x, metric: redis-17_system.core.iowait.pct
id:237, resource: 7, group: x, metric: redis-17_system.core.irq.pct
id:238, resource: 7, group: x, metric: redis-17_system.core.nice.pct
id:239, resource: 7, group: x, metric: redis-17_system.core.softirq.pct
id:240, resource: 7, group: x, metric: redis-17_system.core.steal.pct
id:241, resource: 7, group: x, metric: redis-17_system.core.system.pct
id:242, resource: 7, group: x, metric: redis-17_system.core.user.pct
id:243, resource: 2, group: x, metric: redis-16_system.core.id
id:244, resource: 2, group: x, metric: redis-16_system.core.idle.pct
id:245, resource: 2, group: x, metric: redis-16_system.core.iowait.pct
id:246, resource: 2, group: x, metric: redis-16_system.core.irq.pct
id:247, resource: 2, group: x, metric: redis-16_system.core.nice.pct
id:248, resource: 2, group: x, metric: redis-16_system.core.softirq.pct
id:249, resource: 2, group: x, metric: redis-16_system.core.steal.pct
id:250, resource: 2, group: x, metric: redis-16_system.core.system.pct
id:251, resource: 2, group: x, metric: redis-16_system.core.user.pct
id:252, resource: 6, group: x, metric: redis-19_system.core.id
id:253, resource: 6, group: x, metric: redis-19_system.core.idle.pct
id:254, resource: 6, group: x, metric: redis-19_system.core.iowait.pct
id:255, resource: 6, group: x, metric: redis-19_system.core.irq.pct
id:256, resource: 6, group: x, metric: redis-19_system.core.nice.pct
id:257, resource: 6, group: x, metric: redis-19_system.core.softirq.pct
id:258, resource: 6, group: x, metric: redis-19_system.core.steal.pct
id:259, resource: 6, group: x, metric: redis-19_system.core.system.pct
id:260, resource: 6, group: x, metric: redis-19_system.core.user.pct
id:261, resource: 3, group: x, metric: redis-18_system.core.id
id:262, resource: 3, group: x, metric: redis-18_system.core.idle.pct
id:263, resource: 3, group: x, metric: redis-18_system.core.iowait.pct
id:264, resource: 3, group: x, metric: redis-18_system.core.irq.pct
id:265, resource: 3, group: x, metric: redis-18_system.core.nice.pct
id:266, resource: 3, group: x, metric: redis-18_system.core.softirq.pct
id:267, resource: 3, group: x, metric: redis-18_system.core.steal.pct
id:268, resource: 3, group: x, metric: redis-18_system.core.system.pct
id:269, resource: 3, group: x, metric: redis-18_system.core.user.pct
id:270, resource: 6, group: x, metric: redis-8_system.core.id
id:271, resource: 6, group: x, metric: redis-8_system.core.idle.pct
id:272, resource: 6, group: x, metric: redis-8_system.core.iowait.pct
id:273, resource: 6, group: x, metric: redis-8_system.core.irq.pct
id:274, resource: 6, group: x, metric: redis-8_system.core.nice.pct
id:275, resource: 6, group: x, metric: redis-8_system.core.softirq.pct
id:276, resource: 6, group: x, metric: redis-8_system.core.steal.pct
id:277, resource: 6, group: x, metric: redis-8_system.core.system.pct
id:278, resource: 6, group: x, metric: redis-8_system.core.user.pct
id:279, resource: 2, group: x, metric: redis-5_system.core.id
id:280, resource: 2, group: x, metric: redis-5_system.core.idle.pct
id:281, resource: 2, group: x, metric: redis-5_system.core.iowait.pct
id:282, resource: 2, group: x, metric: redis-5_system.core.irq.pct
id:283, resource: 2, group: x, metric: redis-5_system.core.nice.pct
id:284, resource: 2, group: x, metric: redis-5_system.core.softirq.pct
id:285, resource: 2, group: x, metric: redis-5_system.core.steal.pct
id:286, resource: 2, group: x, metric: redis-5_system.core.system.pct
id:287, resource: 2, group: x, metric: redis-5_system.core.user.pct
id:288, resource: 5, group: x, metric: redis-20_system.core.id
id:289, resource: 5, group: x, metric: redis-20_system.core.idle.pct
id:290, resource: 5, group: x, metric: redis-20_system.core.iowait.pct
id:291, resource: 5, group: x, metric: redis-20_system.core.irq.pct
id:292, resource: 5, group: x, metric: redis-20_system.core.nice.pct
id:293, resource: 5, group: x, metric: redis-20_system.core.softirq.pct
id:294, resource: 5, group: x, metric: redis-20_system.core.steal.pct
id:295, resource: 5, group: x, metric: redis-20_system.core.system.pct
id:296, resource: 5, group: x, metric: redis-20_system.core.user.pct
id:297, resource: 3, group: x, metric: redis-7_system.core.id
id:298, resource: 3, group: x, metric: redis-7_system.core.idle.pct
id:299, resource: 3, group: x, metric: redis-7_system.core.iowait.pct
id:300, resource: 3, group: x, metric: redis-7_system.core.irq.pct
id:301, resource: 3, group: x, metric: redis-7_system.core.nice.pct
id:302, resource: 3, group: x, metric: redis-7_system.core.softirq.pct
id:303, resource: 3, group: x, metric: redis-7_system.core.steal.pct
id:304, resource: 3, group: x, metric: redis-7_system.core.system.pct
id:305, resource: 3, group: x, metric: redis-7_system.core.user.pct
id:306, resource: 7, group: x, metric: redis-6_system.core.id
id:307, resource: 7, group: x, metric: redis-6_system.core.idle.pct
id:308, resource: 7, group: x, metric: redis-6_system.core.iowait.pct
id:309, resource: 7, group: x, metric: redis-6_system.core.irq.pct
id:310, resource: 7, group: x, metric: redis-6_system.core.nice.pct
id:311, resource: 7, group: x, metric: redis-6_system.core.softirq.pct
id:312, resource: 7, group: x, metric: redis-6_system.core.steal.pct
id:313, resource: 7, group: x, metric: redis-6_system.core.system.pct
id:314, resource: 7, group: x, metric: redis-6_system.core.user.pct
id:315, resource: 1, group: x, metric: redis-1_system.core.id
id:316, resource: 1, group: x, metric: redis-1_system.core.idle.pct
id:317, resource: 1, group: x, metric: redis-1_system.core.iowait.pct
id:318, resource: 1, group: x, metric: redis-1_system.core.irq.pct
id:319, resource: 1, group: x, metric: redis-1_system.core.nice.pct
id:320, resource: 1, group: x, metric: redis-1_system.core.softirq.pct
id:321, resource: 1, group: x, metric: redis-1_system.core.steal.pct
id:322, resource: 1, group: x, metric: redis-1_system.core.system.pct
id:323, resource: 1, group: x, metric: redis-1_system.core.user.pct
id:324, resource: 0, group: x, metric: redis-3_system.core.id
id:325, resource: 0, group: x, metric: redis-3_system.core.idle.pct
id:326, resource: 0, group: x, metric: redis-3_system.core.iowait.pct
id:327, resource: 0, group: x, metric: redis-3_system.core.irq.pct
id:328, resource: 0, group: x, metric: redis-3_system.core.nice.pct
id:329, resource: 0, group: x, metric: redis-3_system.core.softirq.pct
id:330, resource: 0, group: x, metric: redis-3_system.core.steal.pct
id:331, resource: 0, group: x, metric: redis-3_system.core.system.pct
id:332, resource: 0, group: x, metric: redis-3_system.core.user.pct
id:333, resource: 9, group: x, metric: redis-2_system.core.id
id:334, resource: 9, group: x, metric: redis-2_system.core.idle.pct
id:335, resource: 9, group: x, metric: redis-2_system.core.iowait.pct
id:336, resource: 9, group: x, metric: redis-2_system.core.irq.pct
id:337, resource: 9, group: x, metric: redis-2_system.core.nice.pct
id:338, resource: 9, group: x, metric: redis-2_system.core.softirq.pct
id:339, resource: 9, group: x, metric: redis-2_system.core.steal.pct
id:340, resource: 9, group: x, metric: redis-2_system.core.system.pct
id:341, resource: 9, group: x, metric: redis-2_system.core.user.pct
id:342, resource: 4, group: x, metric: redis-4_system.core.id
id:343, resource: 4, group: x, metric: redis-4_system.core.idle.pct
id:344, resource: 4, group: x, metric: redis-4_system.core.iowait.pct
id:345, resource: 4, group: x, metric: redis-4_system.core.irq.pct
id:346, resource: 4, group: x, metric: redis-4_system.core.nice.pct
id:347, resource: 4, group: x, metric: redis-4_system.core.softirq.pct
id:348, resource: 4, group: x, metric: redis-4_system.core.steal.pct
id:349, resource: 4, group: x, metric: redis-4_system.core.system.pct
id:350, resource: 4, group: x, metric: redis-4_system.core.user.pct
id:351, resource: 5, group: x, metric: redis-9_system.core.id
id:352, resource: 5, group: x, metric: redis-9_system.core.idle.pct
id:353, resource: 5, group: x, metric: redis-9_system.core.iowait.pct
id:354, resource: 5, group: x, metric: redis-9_system.core.irq.pct
id:355, resource: 5, group: x, metric: redis-9_system.core.nice.pct
id:356, resource: 5, group: x, metric: redis-9_system.core.softirq.pct
id:357, resource: 5, group: x, metric: redis-9_system.core.steal.pct
id:358, resource: 5, group: x, metric: redis-9_system.core.system.pct
id:359, resource: 5, group: x, metric: redis-9_system.core.user.pct
id:360, resource: 8, group: x, metric: redis-11_system.cpu.cores
id:361, resource: 8, group: x, metric: redis-11_system.cpu.idle.norm.pct
id:362, resource: 8, group: x, metric: redis-11_system.cpu.idle.pct
id:363, resource: 8, group: x, metric: redis-11_system.cpu.iowait.norm.pct
id:364, resource: 8, group: x, metric: redis-11_system.cpu.iowait.pct
id:365, resource: 8, group: x, metric: redis-11_system.cpu.irq.norm.pct
id:366, resource: 8, group: x, metric: redis-11_system.cpu.irq.pct
id:367, resource: 8, group: x, metric: redis-11_system.cpu.nice.norm.pct
id:368, resource: 8, group: x, metric: redis-11_system.cpu.nice.pct
id:369, resource: 8, group: x, metric: redis-11_system.cpu.softirq.norm.pct
id:370, resource: 8, group: x, metric: redis-11_system.cpu.softirq.pct
id:371, resource: 8, group: x, metric: redis-11_system.cpu.steal.norm.pct
id:372, resource: 8, group: x, metric: redis-11_system.cpu.steal.pct
id:373, resource: 8, group: x, metric: redis-11_system.cpu.system.norm.pct
id:374, resource: 8, group: x, metric: redis-11_system.cpu.system.pct
id:375, resource: 8, group: x, metric: redis-11_system.cpu.total.norm.pct
id:376, resource: 8, group: x, metric: redis-11_system.cpu.total.pct
id:377, resource: 8, group: x, metric: redis-11_system.cpu.user.norm.pct
id:378, resource: 8, group: x, metric: redis-11_system.cpu.user.pct
id:379, resource: 8, group: x, metric: redis-10_system.cpu.cores
id:380, resource: 8, group: x, metric: redis-10_system.cpu.idle.norm.pct
id:381, resource: 8, group: x, metric: redis-10_system.cpu.idle.pct
id:382, resource: 8, group: x, metric: redis-10_system.cpu.iowait.norm.pct
id:383, resource: 8, group: x, metric: redis-10_system.cpu.iowait.pct
id:384, resource: 8, group: x, metric: redis-10_system.cpu.irq.norm.pct
id:385, resource: 8, group: x, metric: redis-10_system.cpu.irq.pct
id:386, resource: 8, group: x, metric: redis-10_system.cpu.nice.norm.pct
id:387, resource: 8, group: x, metric: redis-10_system.cpu.nice.pct
id:388, resource: 8, group: x, metric: redis-10_system.cpu.softirq.norm.pct
id:389, resource: 8, group: x, metric: redis-10_system.cpu.softirq.pct
id:390, resource: 8, group: x, metric: redis-10_system.cpu.steal.norm.pct
id:391, resource: 8, group: x, metric: redis-10_system.cpu.steal.pct
id:392, resource: 8, group: x, metric: redis-10_system.cpu.system.norm.pct
id:393, resource: 8, group: x, metric: redis-10_system.cpu.system.pct
id:394, resource: 8, group: x, metric: redis-10_system.cpu.total.norm.pct
id:395, resource: 8, group: x, metric: redis-10_system.cpu.total.pct
id:396, resource: 8, group: x, metric: redis-10_system.cpu.user.norm.pct
id:397, resource: 8, group: x, metric: redis-10_system.cpu.user.pct
id:398, resource: 9, group: x, metric: redis-13_system.cpu.cores
id:399, resource: 9, group: x, metric: redis-13_system.cpu.idle.norm.pct
id:400, resource: 9, group: x, metric: redis-13_system.cpu.idle.pct
id:401, resource: 9, group: x, metric: redis-13_system.cpu.iowait.norm.pct
id:402, resource: 9, group: x, metric: redis-13_system.cpu.iowait.pct
id:403, resource: 9, group: x, metric: redis-13_system.cpu.irq.norm.pct
id:404, resource: 9, group: x, metric: redis-13_system.cpu.irq.pct
id:405, resource: 9, group: x, metric: redis-13_system.cpu.nice.norm.pct
id:406, resource: 9, group: x, metric: redis-13_system.cpu.nice.pct
id:407, resource: 9, group: x, metric: redis-13_system.cpu.softirq.norm.pct
id:408, resource: 9, group: x, metric: redis-13_system.cpu.softirq.pct
id:409, resource: 9, group: x, metric: redis-13_system.cpu.steal.norm.pct
id:410, resource: 9, group: x, metric: redis-13_system.cpu.steal.pct
id:411, resource: 9, group: x, metric: redis-13_system.cpu.system.norm.pct
id:412, resource: 9, group: x, metric: redis-13_system.cpu.system.pct
id:413, resource: 9, group: x, metric: redis-13_system.cpu.total.norm.pct
id:414, resource: 9, group: x, metric: redis-13_system.cpu.total.pct
id:415, resource: 9, group: x, metric: redis-13_system.cpu.user.norm.pct
id:416, resource: 9, group: x, metric: redis-13_system.cpu.user.pct
id:417, resource: 1, group: x, metric: redis-12_system.cpu.cores
id:418, resource: 1, group: x, metric: redis-12_system.cpu.idle.norm.pct
id:419, resource: 1, group: x, metric: redis-12_system.cpu.idle.pct
id:420, resource: 1, group: x, metric: redis-12_system.cpu.iowait.norm.pct
id:421, resource: 1, group: x, metric: redis-12_system.cpu.iowait.pct
id:422, resource: 1, group: x, metric: redis-12_system.cpu.irq.norm.pct
id:423, resource: 1, group: x, metric: redis-12_system.cpu.irq.pct
id:424, resource: 1, group: x, metric: redis-12_system.cpu.nice.norm.pct
id:425, resource: 1, group: x, metric: redis-12_system.cpu.nice.pct
id:426, resource: 1, group: x, metric: redis-12_system.cpu.softirq.norm.pct
id:427, resource: 1, group: x, metric: redis-12_system.cpu.softirq.pct
id:428, resource: 1, group: x, metric: redis-12_system.cpu.steal.norm.pct
id:429, resource: 1, group: x, metric: redis-12_system.cpu.steal.pct
id:430, resource: 1, group: x, metric: redis-12_system.cpu.system.norm.pct
id:431, resource: 1, group: x, metric: redis-12_system.cpu.system.pct
id:432, resource: 1, group: x, metric: redis-12_system.cpu.total.norm.pct
id:433, resource: 1, group: x, metric: redis-12_system.cpu.total.pct
id:434, resource: 1, group: x, metric: redis-12_system.cpu.user.norm.pct
id:435, resource: 1, group: x, metric: redis-12_system.cpu.user.pct
